algorithm_name,env_n,size,best_solution,H,states,time
GA,29,4,"[2, 0, 3, 1]",0,35,0.00054931640625
GA,0,8,"[4, 0, 7, 5, 1, 1, 4, 2]",3,100,0.003939151763916016
GA,1,8,"[5, 1, 4, 0, 3, 6, 2, 2]",1,100,0.004026889801025391
GA,2,8,"[3, 1, 2, 5, 5, 7, 4, 0]",3,100,0.004040956497192383
GA,3,8,"[3, 1, 5, 1, 6, 0, 7, 4]",2,100,0.004024982452392578
GA,4,8,"[3, 6, 4, 0, 5, 2, 4, 7]",4,100,0.004019021987915039
GA,5,8,"[0, 2, 4, 6, 1, 3, 0, 5]",3,100,0.0039861202239990234
GA,6,8,"[4, 1, 4, 0, 3, 6, 7, 5]",2,100,0.00403141975402832
GA,7,8,"[4, 7, 5, 0, 2, 0, 3, 6]",2,100,0.004029750823974609
GA,8,8,"[5, 3, 0, 7, 5, 4, 6, 1]",2,100,0.004012346267700195
GA,9,8,"[1, 5, 0, 6, 2, 0, 5, 7]",4,100,0.003972530364990234
GA,10,8,"[6, 3, 0, 0, 7, 4, 1, 1]",2,100,0.004046201705932617
GA,11,8,"[7, 4, 6, 1, 0, 6, 3, 5]",3,100,0.003938436508178711
GA,12,8,"[4, 7, 3, 0, 2, 7, 5, 2]",2,100,0.003935575485229492
GA,13,8,"[5, 2, 4, 7, 3, 0, 6, 4]",2,100,0.0039386749267578125
GA,14,8,"[4, 0, 3, 5, 2, 2, 6, 1]",2,100,0.003935813903808594
GA,15,8,"[5, 3, 1, 7, 4, 6, 3, 2]",2,100,0.003875255584716797
GA,16,8,"[1, 5, 7, 1, 6, 0, 2, 0]",2,100,0.0037775039672851562
GA,17,8,"[7, 1, 7, 2, 6, 5, 0, 4]",3,100,0.0038077831268310547
GA,18,8,"[3, 5, 2, 7, 1, 3, 1, 6]",3,100,0.0037848949432373047
GA,19,8,"[7, 7, 1, 3, 4, 6, 0, 2]",4,100,0.003846406936645508
